Company,logAssets,logSales,sector
Air Products,7.896180609,7.53369371,Other
Allied Signal,9.493336482,9.117676687,Other
American Electric Power,9.519367998,8.486321528,Energy
American Savings Bank FSB,8.192570471,5.905361848,Finance
AMR,8.76795191,8.721113148,Transportation
Apple Computer,6.929516771,7.469654173,HiTech
Armstrong World Industries,6.996681488,7.425953657,Manufacturing
Bally Manufacturing,7.332369206,7.166265974,Other
Bank South,7.933079772,5.602118821,Finance
Bell Atlantic,9.892830972,9.114269903,Communication
H&R Block,5.789960171,6.295266001,Finance
Brooklyn Union Gas,7.018401799,6.945051064,Energy
California First Bank,8.594339401,6.309918278,Finance
CBI Industries,7.028201432,7.323830566,Manufacturing
Central Illinois Public Service,7.398174093,6.552507887,Energy
Cigna,10.70853383,9.692581319,Finance
Cleveland Electric Illuminating,8.6395878,7.134093721,Energy
Columbia Gas System,8.671629545,8.307212627,Energy
Community Psychiatric Centers,5.627621114,5.323009979,Medical
Continental Telecom,8.53188474,7.846589975,Communication
Crown Cork & Seal,6.763884909,7.304515946,Other
Dayton-Hudson,8.393442384,9.081711229,Retail
Digital Equipment,8.84130362,8.857799727,HiTech
Dillard Department Stores,6.759255271,7.378383713,Retail
Dreyfus,5.993961427,5.170483995,Finance
Eg&G,6.063785209,7.051855623,HiTech
Ex-Cell-O,6.683360946,7.038783541,Other
First American,8.4740769,6.115892125,Finance
First Empire State,7.843064017,5.575949103,Finance
First Tennessee National,8.565792861,6.267200549,Finance
Florida Progress,8.158802491,7.410347098,Energy
Fruehauf,7.497761701,7.849323818,Manufacturing
General Electric,10.18233068,10.25008691,HiTech
Giant Food,6.434546519,7.717351272,Retail
Great A&P Tea,7.38274645,8.797095077,Retail
Halliburton,8.44719982,8.472405009,Manufacturing
Hewlett-Packard,8.660254034,8.790421307,HiTech
Hospital Corp of America,8.741775707,8.331345425,Medical
Idaho Power,7.410951876,6.11146734,Energy
IBM,10.87111758,10.82089766,HiTech
IU International,6.906754779,7.53796266,Transportation
Kansas Power & Light,7.425953657,7.210818453,Energy
Kroger,8.337587942,9.748236267,Retail
Liz Claiborne,5.407171771,6.32256524,Other
LTV,8.749415407,9.011767475,Manufacturing
Marine Corp,8.221478947,5.874930731,Finance
May Department Stores,8.143807977,8.533066541,Retail
Mellon Bank,10.4164908,8.077757564,Finance
Mesa Petroleum,7.136483209,5.872117789,Energy
Montana Power,7.463363046,6.391917113,Energy
National City,9.433883843,7.171656823,Finance
NCR,8.278936002,8.370315996,HiTech
Norstar Bancorp,9.104757609,6.782192056,Finance
Norwest,9.972033658,7.830425618,Finance
Owens-Corning Fiberglas,7.768956045,8.103191752,Manufacturing
Pan Am,7.803026644,8.155936338,Transportation
Peoples Energy,7.272398393,7.38832786,Energy
Phillips Petroleum,9.55002174,9.657331227,Energy
PPG Industries,8.314832179,8.377011161,Manufacturing
Public Service Co of New Mexico,8.009695358,6.618738984,Energy
Republic Airlines,7.159291905,7.458186157,Transportation
AH Robins,6.561030666,6.559615237,Medical
San Diego Gas & Electric,8.034631033,7.461065514,Energy
Shared Medical Systems,5.529429088,5.743003188,Medical
Southeast Banking,9.310366686,7.00033446,Finance
Sovran Financial,9.176990392,6.944087208,Finance
Stop & Shop Cos,7.013915475,8.213110698,Retail
Supermarkets General,7.006695227,8.541495484,Retail
Telex,6.169610732,6.510258341,HiTech
Textron,9.244548543,8.651898894,Manufacturing
TWA,7.926241523,8.222822131,Transportation
Turner,6.622736324,7.672757897,Manufacturing
United Financial Group,8.514990768,6.249975242,Finance
United Technologies,9.261793654,9.615272004,Manufacturing
Valero Energy,7.598399329,7.886832999,Energy
Warner Communications,7.734558844,7.711996507,Other
Western Air Lines,6.858565035,7.175489714,Transportation
Wickes Cos,7.99193052,7.939515261,Retail
FW Woolworth,7.837948916,8.692490133,Retail